brand,name,seller,reviews_rating_number,reviews_amount,old_money,new_money
,Xiaomi Redmi Note 13 4G Dual SIM 256 GB verde 8 GB RAM,,4.8,(15172),1.278,123
,Smartphone Xiaomi Poco C75 Dual Sim 256gb 8gb Ram Nfc Global,,,,1.680,1.209
,Celular Smartphone Xiaomi Redmi 14c Dual Sim 256gb 8gb Ram,,4.8,(130),1.600,1.136
,Smartphone Multi F Pro Preto - P9118,,3.5,(292),609,426
,"Smartphone Infinix Hot 50i 4GB RAM 256GB 4G Câmera Dupla 48MP Selfie 8MP 5000mAh 6,7” 120Hz Preto Obsidiana",Por Infinix ,4.6,(185),715,71
,Redmi 13C Dual SIM 256GB Preto 8GB RAM,Por StorePluss ,4.4,(377),929,89
TCL,Celular TCL 40 SE dual SIM 256gb twilight purple 12gb RAM,,4.6,(589),907,90
LG,"Smartphone K61 Tela 6,53'' 128gb 4gb Ram Titânio LG Cor Cinza-escuro",,4.6,(1443),789,79
MOTOROLA,Smartphone Motorola Moto G55 5g - 256gb 16gb Ram Boost E Camera 50mp Com Ai Nfc Tela 6.5 Com Superbrilho - Verde,Por Mobcom ,4.6,(35),1.710,1.308
SAMSUNG,Samsung Galaxy S23+ 512gb 5g Processador Snapdragon Preto,Por Webfones ,4.9,(1085),6.199,4.999
,Xiaomi 14T Dual SIM 512 GB cinza titânio 12 GB RAM,,4.8,(347),4.200,420
MOTOROLA,"Smartphone Moto G14 Dual SIM 6,5"" 128gb 4gb RAM Grafite Motorola",,4.7,(22876),979,97
,Smartphone Xiaomi Redmi 13C Dual SIM 256 GB Navy blue 8 GB RAM,,4.6,(20969),945,94
MOTOROLA,Moto E6 Play Dual SIM 32 GB cinza-metálico 2 GB RAM,,4.4,(131),799,79
MOTOROLA,"Smartphone Motorola Moto g55 5G - 256GB 16GB (8GB RAM+8GB Ram Boost) e Camera 50MP com AI NFC Tela 6.5"" com Superbrilho - Preto",Por Mobcom ,4.6,(35),1.710,1.308
LG,"Smartphone K62+ 4g Tela 6,6' 128gb 4gb Ram Branco LG",,4.6,(2069),699,67
,Xiaomi Redmi Note 13 Pro Plus 5g Nfc Dual 512 Gb Preto 12 Gb,,4.7,(319),2.770,277
,Multilaser E Pro Dual SIM 32 GB Preto 1 GB RAM,,3.9,(461),497,47
,Poco X6 Pro 5G Dual SIM 512 GB Preto 12 GB RAM,,4.8,(10421),2.030,195
,Celular Xiaomi Redmi Note 13 8gb/256gb Ice Blue,,4.8,(2150),1.400,140
,Xiaomi Redmi 14c 128gb Dual Sim Verde,,4.6,(3153),715,69
,Redmi Note 13 5G Dual SIM 256 GB Branco 8 GB RAM,,4.7,(2857),1.475,147
SAMSUNG,"Smartphone Samsung Galaxy A15 5G 128GB 4GB RAM Dual SIM Azul Claro 6,5''",Por Samsung ,4.8,(76010),1.699,1.198
,Multilaser F 3G 32GB Café 1GB,,4.1,(4266),449,427
MOTOROLA,"Smartphone Motorola Edge 50 Pro 5g 256gb 24gb Ram Boost Tela 6,7 Poled Gorilla Glass Ip68 - Lilac - Excelente (Recondicionado)",,4.5,(4),2.699,2.564
,"Smartphone Xiaomi Redmi Note 14 8+8gb + 256gb, Verde",,4.8,(388),1.290,129
,Celular Smartphone Realme C61 Dual Sim 128 Gb 4 Gb Ram Dourado,,4.7,(1074),838,80
SAMSUNG,"Smartphone Galaxy Z Flip4 5g 128gb, 8gb Ram, Tela De 6.7'' Cor Preto - Excelente (Recondicionado)",Por Trocafy ,4.4,(14),2.379,2.260
,Smartphone Xiaomi Redmi 13c Dual Sim 128 Gb Preto 6 Gb Ram,,4.6,(20969),819,79
MOTOROLA,Smartphone Moto E13 32gb Tela 6.5'' 2gb Ram Grafite Motorola,,4.6,(46875),601,60
,Celular Realme Note 60 Dual Sim 64 Gb 3 Gb Ram Azul,Por Brazil Electronics ,4.7,(675),761,76
,Realme NOTE 50 Dual SIM 64 GB Azul 3 GB RAM,,4.6,(11754),597,57
SAMSUNG,Smartphone Samsung Galaxy A12 Tela 6.5 64gb 4gb Ram Preto - Bom (Recondicionado),,4.0,(63),599,59
MOTOROLA,Smartphone Motorola Moto G24 256gb 4gb Rosa + Ubook,Por Mobcom ,,,1.425,727
MOTOROLA,Smartphone Motorola Moto G24 256gb 4gb Grafite + Ubook,Por Mobcom ,5.0,(1),1.425,727
,Smartphone Realme C75 Dual Sim 256gb/8gb Ram ( ) Cor Preto,,4.7,(22),1.460,146
,Infinix Hot 30 Dual SIM 256 GB racing black 8 GB RAM,Por Infinix ,4.7,(494),1.199,1.129
,Xiaomi Redmi 10C Dual SIM 64 GB cinza 3 GB RAM,,4.7,(2902),811,81
,Celular Smartphone Xiaomi Redmi 14c Dual Sim 256gb 8gb Ram,,4.8,(130),1.600,1.136
,Smartphone Xiaomi Poco C75 Dual Sim 8gb 256gb + Brindes,,,,1.539,1.262
SAMSUNG,Smartphone Samsung Galaxy S20 Tela De 6.2 128gb 8gb Ram Azul Cor Cloud blue - Bom (Recondicionado),Por Trocafy ,4.3,(7),1.229,1.130
,"Smartphone Honor X7c 4g 256gb 16gb Ram (8 + 8) Tela 6,77 120hz Câmera Dupla 108mp Branco",,4.5,(31),1.390,139
,Celular Smartphone Xiaomi Redmi 13c Dual Sim 256gb 8gb Ram,,5.0,(2),1.146,1.033
LG,"Smartphone K52 4g Tela 6,59'' 64 Gb 3gb Ram Vermelho LG - Excelente (Recondicionado)",,4.7,(3),680,68
,Celular Realme C65 Dual Sim 256 Gb 8 Gb Ram NFC Smartphone Roxo Purple,,4.7,(256),1.130,113
SAMSUNG,Smartphone Galaxy A01 32gb 2gb Ram Preto Samsung,,4.6,(3539),799,79
MOTOROLA,Smartphone Motorola G53 5g 128GB Grafite 4GB,,4.7,(5124),1.099,106
MOTOROLA,"Smartphone Moto E20 32gb 2gb Ram Tela 6,5 Cinza Motorola",,4.6,(6289),643,62
,Smartphone Xiaomi Poco C75 Dual Sim 256gb 8gb Ram Nfc Global,,,,1.680,1.209
MOTOROLA,Smartphone Moto G30 6.5'' 128gb 4gb Ram Dark Prism Motorola,,4.7,(2576),1.250,125
SAMSUNG,"Samsung Galaxy S25+ 512GB, 12GB, Câmera Tripla - Azul Marinho",,4.9,(66),6.075,607
,Smartphone Nokia 2.4 Nk015 Tela 6.5'' 64gb 3gb Ram Cinza,,4.2,(167),646,594
SAMSUNG,"Smartphone Samsung Galaxy Z Flip3, 128gb, 8gb Ram, Tela 6.7 Cor Preto - Excelente (Recondicionado)",Por Trocafy ,5.0,(12),1.699,1.563
MOTOROLA,Smartphone Moto G10 6.5'' 64gb 4gb Ram Branco Motorola Cor Branco-floral,,4.7,(1011),1.499,689
,Celular Realme C61 4ram 128gb Com Nfc Cor Gold/verde Cor Verde-escuro,Por Realme ,4.6,(1006),859,85
,Celular Robusto CAT S62 Pro Caterpillar 128 GB preto 6 GB RAM,,4.7,(51),3.560,356
SAMSUNG,Smartphone Galaxy A23 Tela 6.6'' 128gb 4gb Ram Preto Samsung - Bom (Recondicionado),,5.0,(3),806,80
,"Smartphone Infinix Note 40 5g 8gb Ram 256gb Armazenamento, Câmera Tripla 108mp+ Selfie 32mp, Tela 6,78 Fhd+ 120hz, Sound By Jbl, Bateria 5000mah, Carregamento Sem Fio Dourado",,4.5,(41),1.523,152
,Smartphone Xiaomi Poco C75 Dual Sim 8gb 256gb Nf + Brindes,,5.0,(1),1.539,1.299
,Smartphone Realme C61 256 Gb 8 Gb Ram  Verde + Brinde,,5.0,(1),1.760,1.249
,Xiaomi Redmi 12 5G (NFC) 128 GB prata 4 GB RAM,,4.6,(150),976,94
LG,"Smartphone LG K51s Tela 6,55'' 4g 3gb 64gb Ram Titânio Cor Cinza-escuro",,4.5,(696),999,96
SAMSUNG,Smartphone Samsung Galaxy A01 Core Tela 5.3 32gb 2gb Ram Pto Cor Preto - Bom (Recondicionado),,4.0,(24),332,55
,Smartphone Xiaomi Redmi Note 14 Pro 5g 12+12gb + 512gb Preto,,4.6,(30),2.555,255
,Smartphone Xiaomi Poco C65 Global Com Nfc 256/8gb Ram Preto,,4.6,(8),1.104,110
SAMSUNG,"Smartphone Samsung Galaxy A04e 64GB Preto 4G Octa-Core 3GB RAM 6,5” Câm. Dupla + Selfie 5MP",,4.6,(1124),689,66
LG,LG K9 TV Dual SIM 16 GB preto 2 GB RAM,,4.3,(173),419,40
,Celular Realme C75 Dual Sim 128 Gb 8 Gb Ram Smartphone Preto,,4.7,(22),1.269,126
MOTOROLA,Smartphone Motorola Edge 40 Neo 5G 256GB 8 RAM 50MP Ultra-Pixel AI Camera IP68 NFC - Caneel Bay - Vegan,,4.8,(8532),1.699,163
SAMSUNG,Samsung Galaxy A55 5G Dual SIM 256 GB Azul celeste 8 GB RAM,Por Samsung ,4.8,(5404),3.849,2.198
,Realme C55 8gb Ram 256gb Armazenamento Rainy Night,,4.8,(6276),1.602,160
MOTOROLA,"Smartphone Moto G22 Tela De 6,5 128 Gb 4 Ram Preto Motorola",,4.6,(8001),877,87
LG,"Smartphone K62 6,59'' 64gb 4gb Ram 13mp Vermelho LG",,4.6,(2107),579,55
SAMSUNG,"Smartphone Samsung Galaxy S21 Plus 5g Tela 6,7 256gb 8gb Ram Cor Prateado - Excelente (Recondicionado)",Por Trocafy ,4.7,(17),1.699,1.563
LG,Smartphone LG X Style Dual K200 16gb Tela 5' Cam 8mp Outlet - Bom (Recondicionado),,2.7,(3),203,33
,Celular Smartphone Xiaomi Redmi 14c Dual Sim 256gb 8gb Ram,,4.8,(130),1.600,1.136
ASUS,"Smartphone Asus Rog Phone 8 Pro 512gb 5g Snapdragon 8 Gen 3 16gb Ram Tela 6,78 Amoled 165hz Câm Tripla 50mp+32mp - Phantom Black",Por Asus ,,,9.999,999
SAMSUNG,Smartphone Samsung Galaxy S20+ Tela De 6.7 128gb 8gb Ram Cor Cosmic gray - Excelente (Recondicionado),Por Trocafy ,5.0,(2),1.639,1.557
,"Smartphone Infinix Smart 8 Pro 8gb Ram 256gb 6,6 Poleg 2chip",,4.6,(49),1.099,989
SAMSUNG,Smartphone Samsung Galaxy A55 5g 128gb 8gb Ram - Azul Escuro Cor Azul-escuro - Bom (Recondicionado),,,,1.499,149
,Smartphone Cubot A10 4+8 12/128 Andriod 14 Cor Preto,,3.7,(3),630,60
,"Smartphone Oppo A40 256gb 4gb Ram 6,7 Câm. 50mp Cor Chocolate",,4.8,(25),995,99
MOTOROLA,Smartphone Edge 20 5g 128gb 8gb Ram Tela 6.7 Preto Motorola,,4.6,(22),1.723,172
,CAT S62 Pro Dual SIM 128 GB preto 4 GB RAM,,4.3,(143),3.499,349
LG,Smartphone K41s Tela 6.55'' 32gb 3gb Ram Cinza-escuro LG,,4.5,(4980),609,61
,Celular Realme Note 60 Dual Sim 128 Gb 4 Gb Ram Preto,Por Realme ,4.7,(675),699,69
MOTOROLA,"Smartphone Motorola Moto G24 128gb 4gb 6,6'' Hd+ Android 14 4G/Lite Dual Sim Grafite - Excelente (Recondicionado)",,4.4,(16),569,57
,Celular Awesome A70 Itel 12 Gigas Cor Azul,,5.0,(4),769,76
,Smartphone Realme C61 256 Gb 8 Gb Ram Com Nfc Verde,,4.7,(31),1.149,114
MOTOROLA,Smartphone Motorola Moto G24 256gb 4gb Rosa + Ubook,Por Mobcom ,,,1.425,727
,Smartphone Xiaomi Poco C75 Dual Sim 8gb 256gb + Brindes,,,,1.539,1.262
,"""Realme 13+ 5g Dual Sim 256 Gb Dourado 8 Gb Ram Com Nfc""",Por Realme ,4.9,(18),1.997,199
MOTOROLA,Smartphone G20 64gb 4gb Ram Tela 6.5'' Rosa-escuro Motorola,,4.6,(4143),998,869
MOTOROLA,Smartphone Motorola Moto g34 5G - 128GB 8GB (4GB RAM+4GB Ram Boost) AI Camera 50MP NFC,Por Movacel ,4.8,(2551),969,93
,Smartphone Xiaomi Poco C75 Dual Sim 8gb 256gb Nf + Brindes,,5.0,(1),1.539,1.299
,Smartphone Realme C61 256 Gb 8 Gb Ram  Verde + Brinde,,5.0,(1),1.760,1.249
,Smartphone Xiaomi Redmi Note 14 Pro Plus 5g 12gb RAM 512gb preto,,4.6,(19),2.858,274
SAMSUNG,Smartphone Galaxy A01 Quadcore Tela 5.3 32gb 2gb Ram Samsung Cor Azul,,4.4,(3840),649,64
SAMSUNG,Smartphone Samsung Galaxy A02s Tela 6.5 32gb 3gb Ram Azul,,4.6,(1640),899,692
MOTOROLA,Smartphone Motorola Edge 50 Pro 5G - 256GB 24GB (12GB RAM+12GB Ram Boost) 50MP Ultra-Pixel AI Camera IP68 NFC - Preto,,4.8,(3240),2.938,282
,"Smartphone Infinix Hot 11s Tela 6,7 Polegadas 128gb 6gb Ram",,4.7,(119),1.076,989
SAMSUNG,Smartphone Samsung Galaxy Z Flip5 512gb 8gb Ram 5G Verde-claro - Excelente (Recondicionado),Por Trocafy ,5.0,(8),2.929,2.694
SAMSUNG,"Smartphone Samsung Galaxy Z Fold5 5g, 1tb, 12gb Ram, Tela Infinita De 7.6 Preto",,4.9,(176),6.599,659
,Xiaomi Redmi 13C Dual SIM 256 GB midnight black 4 GB RAM,,4.5,(2288),928,89
,Smartphone Xiaomi Poco C75 Dual Sim 256gb 8gb Ram Nfc Global,,,,1.680,1.209
,Smartphone Xiaomi Redmi Note 13 8+256g 4g Global +fone + RLG,,4.4,(12),1.789,1.517
,Celular Realme C63 Dual Sim 128 Gb Verde 6 Gb Ram Nfc,,4.7,(615),1.010,101
,Smartphone Infinix Smart 6 64 Gb Dual Chip 2gb Ram - Preto - Excelente (Recondicionado),,5.0,(1),499,55
MOTOROLA,Smartphone Motorola Edge 50 5g - 256gb 24gb Ram Boost 50mp Sony Camera Moto Ai Ip68 Nfc - Green Vegan Leather,,4.8,(251),2.382,238
,Nokia G11 Plus Dual SIM 64 GB charcoal grey 3 GB RAM,,4.3,(18),859,790
SAMSUNG,Samsung Galaxy A25 6gb Ram 128gb 5G Cor azul escuro,,4.8,(14230),1.590,1.479
,Xiaomi Redmi Note 8 Dual SIM 64 GB neptune blue 4 GB RAM,,4.7,(882),899,683
LG,"Smartphone K52 4g Tela 6,59'' 64gb 3gb Ram Cinza LG",,4.6,(2759),589,58
MOTOROLA,"Smartphone Motorola Edge 50 Pro 5g 256gb 24gb Ram Boost Tela 6,7 Poled Gorilla Glass Ip68 - Lilac - Bom (Recondicionado)",,4.5,(4),2.299,2.118
TCL,Smartphone Para Idoso 16gb Capa Película Envio 24h,,2.7,(13),582,58
,Multilaser G Pro 3 Dual SIM 128 GB preto 4 GB RAM,,5.0,(2),769,76
,Smartphone Xiaomi Redmi 14c 256gb 8gb Ram Roxo Global 4g,,4.3,(3),979,97
MOTOROLA,Moto G24 Power Dual SIM 256 GB azul 8 GB RAM,,4.6,(354),1.161,1.103
