MARCA,DESCRIÇÃO,VENDIDO POR,AVALIAÇÕES,QUANTIDADE DE AVALIAÇÕES,PREÇO ANTIGO,PREÇO NOVO,TIPO
LENOVO,"Notebook Lenovo Ideapad 1 Celeron 4gb 128gb Ssd 15,6 W11 Cor Cinza",Por 123 Comprou,4.6,2908,3.665,2.159,Notebook
Positivo,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por Positivo,4.6,722,3.331,1.709,Notebook
Positivo,"Notebook Positivo Vision i15 Lumina Bar i3-N300, 8GB 512GB SSD, Tela 15 polegadas Full HD Antirreflexo Linux - Cinza",Por Positivo,4.6,287,3.998,2.339,Notebook
LENOVO,"Notebook Lenovo Ideapad 1 Celeron 4gb 128gb Ssd 15,6 W11 Cor Cinza",,4.6,2908,2.13,213.0,Notebook
HP,Notebook Hp 256r G9 Intel Core I5-1335u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl- Ay6z4la#ak4,Por HP,4.8,69,3.803,3.134,Notebook
Indefinido,"Notebook Ultra, Linux, 15,6 Pol. HD, Intel Celeron, 240GB SSD/ 8GB RAM, Cinza Escovado - UB262",Por Loja Multi,4.5,58,1.699,1.51,Notebook
DELL,Notebook Dell 15.6 Fhd I5 8gb 512gb Ssd Rtx 3050,Por Dell,4.5,22,5.999,5.699,Notebook
ASUS,"Notebook Gamer ASUS TUF Gaming A15 AMD Ryzen 7 7435HS 3,1 GHz RTX3050 16GB RAM 512GB SSD Windows 11 Home Tela 15,6 144Hz IPS FHD Graphite Black - FA506NCR-HN088W",Por Mercado Livre,5.0,11,6.499,5.899,Notebook
Positivo,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 8gb 256gb, Tela 15 Full Hd Antirreflexo, Linux - Preto",Por Positivo,4.7,75,3.699,2.849,Notebook
SAMSUNG,"Samsung Galaxy Chromebook Go Intel Celeron N4500, 4gb, 32gb Cor Cinza",Por NegociuN,4.8,20,1.861,1.329,Notebook
ACER,"Notebook Acer A515-57-55b8 Aspire 5 I5-12450h 8gb 256gb 15,6",,5.0,4,3.999,399.0,Notebook
Positivo,"Notebook Positivo Vision I15 Lumina Bar, Core I3, 11th, 8gb 512gb Ssd, Tela 15 Polegadas, Full Hd Antirreflexo, Windows 11 - Cinza",Por Positivo,4.8,12,4.598,2.474,Notebook
ASUS,"Notebook Asus Vivobook 15 X1504za Intel Core I5 1235u 16gb Ram 512gb Ssd Linux Keepos Tela 15,60 Fhd Quiet Blue - Nj931",Por Asus,4.8,212,3.799,3.185,Notebook
LENOVO,Notebook Lenovo Thinkpad T470 I5 7th Ger 8g Ddr4 240gb Ssd,Por Tech Forte,,,1.899,1.576,Notebook
Positivo,"Notebook Positivo Vision I15 Lumina Bar I3-n300, 8gb 256gb Ssd, Tela 15 Polegadas Full Hd Antirreflexo Linux - Preto",Por 123 Comprou,5.0,2,4.499,2.069,Notebook
