MARCA,DESCRIÇÃO,VENDIDO POR,AVALIAÇÕES,QUANTIDADE DE AVALIAÇÕES,PREÇO ANTIGO,PREÇO NOVO,TIPO
HP,Notebook 256-g9 I3 8gb 256gb Ssd 15w11 7z3r2la Hp Cx 1 Un Cor Preto,,4.8,468,2.849,284.0,Notebook
Apple,"MacBook Pro MacBook Pro 16"" M3 Max 16"" preto 48GB de Ram - 1TB SSD - Apple M3",,5.0,1,29.583,2.958,Notebook
ASUS,Notebook Gamer Rog Strix G16 G614ji Nvidia Rtx4070 Intel Core I9 13980hx 32gb Ram 1tb Ssd Windows 11 Tela 16 240hz Fhd Gray - N4440w,Por Asus,4.7,6,17.999,14.219,Notebook
LENOVO,Notebook Lenovo Core I5 8gb 256gb Ssd 15.6 Fullhd Win 10 Pro colorido cinza grafite,,5.0,10,3.799,379.0,Notebook
LENOVO,Notebook Lenovo Thinkpad X1 Carbon Intel I7 8650u 16gb 256gb Preto,,,,2.815,281.0,Notebook
SAMSUNG,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core 7, 16gb, 512gb Ssd, Nvidia® Geforce® Mx570, 15.6' Full Hd Led, Fingerprint - Grafite",Por Samsung,4.8,86,6.699,6.364,Notebook
LENOVO,"Lenovo Thinkpad T490 14,0 Fhd (1920 x 1080) 250 nits Ips Anti",,,,2.865,286.0,Notebook
ASUS,"Notebook ASUS Vivobook M1502IA-EJ251 AMD Ryzen™ 5 4600H 8GB 256GB SSD Linux Keep OS 15,6"" FHD LED Cor Icelight silver",,4.8,1010,3.099,297.0,Notebook
LENOVO,Notbook Lenovo T480 Intel Core I5-83350u 16gb Ssd 256gb 14,,,,1.749,174.0,Notebook
SAMSUNG,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core I7, 16gb, 512gb Ssd, 15.6'' Full Hd Led, 1.55 Kg - Grafite",,4.8,324,9.39,939.0,Notebook
DELL,Notebook Dell Latitude 3440 Intel Core I5 16g 256ssd Cor Preto,,4.1,8,4.97,497.0,Notebook
ASUS,Computador portátil Asus Zenbook 14 Oled Q415m 14 Touch Intel Ultra 5 Color Gris Oscuro,,5.0,1,5.899,589.0,Notebook
DELL,Notebook Dell Latitude 5440 I5 16 GB de RAM 512 GB Ssd 14 Fhd,,,,5.855,585.0,Notebook
HP,Notebook HP Elitebook 640 G10 Intel Core i7 16 GB de RAM 512 GB S,,,,6.283,628.0,Notebook
Indefinido,Notebook Gamer Msi Katana I7 16gb 1tb Ssd 15.6 Rtx 4070 8gb Cor preto,,,,9.891,9.297,Notebook
LENOVO,Notebook Lenovo Ideapad 1i Celeron Office 365 4gb 128gb W11,Por 123 Comprou,4.8,103,3.665,1.979,Notebook
ACER,"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",Por 123 Comprou,4.8,2698,8.165,4.499,Notebook
ASUS,"Notebook Asus Vivobook Go 15 E1504ga Intel Core I3 N305 4gb Ram 128gb Ssd Windows 11 Tela 15,6 Fhd Silver - Nj440w",Por Webfones,4.8,277,2.999,2.209,Notebook
HP,Notebook HP Elitebook 640 G10 Intel Core i7 16 GB de RAM 512 GB S,,,,6.283,628.0,Notebook
Indefinido,Notebook Gamer Msi Katana I7 16gb 1tb Ssd 15.6 Rtx 4070 8gb Cor preto,,,,9.891,9.297,Notebook
ACER,Notebook Acer Aspire 3 Intel Core I3 11ª 4gb Ssd 512gb 15.6,,5.0,20,2.599,249.0,Notebook
Indefinido,"Notebook gamer ROG Strix Scar 17 G733 17.3"" preto 32GB de Ram - 1TB SSD - AMD Ryzen 9",,4.7,3,32.625,,Notebook
DELL,Notebook Dell 5410 Tela Full Hd  I5-10ª Ger 16gb Ssd 512gb,,5.0,1,2.399,239.0,Notebook
LENOVO,Lenovo Thinkpad T14 Gen 3 I5 16 Ram 512 Gb Ssd Win 11 Pro,,3.9,9,4.499,449.0,Notebook
Indefinido,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,Por 123 Comprou,4.6,164,2.531,1.259,Notebook
SAMSUNG,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core I5, 8gb, 256gb Ssd, 15.6'' Full Hd Led, 1.55 Kg - Grafite",,4.9,1149,4.999,3.379,Notebook
ACER,"Notebook Gamer Acer Nitro V15 I7-13620h 13ªGen 8gb 512gb Rtx3050 6gb Linux 15.6"" FHD Preto - Anv15-51-7837",Por INPOWER,3.5,6,7.599,5.399,Notebook
DELL,Notebook Dell Latitude 3410 i5-10210U de 8 GB e 256 GB W10pro 14 cores preto,,4.3,46,3.258,3.095,Notebook
DELL,Notebook Dell Latitude 3420 Core I5 11ger 16gb 256gb Ssd,Por SLA Informatica,3.7,3,3.399,339.0,Notebook
Vaio,"Notebook VAIO FH15 Intel Core i7 13th 32GB 1TB S SSD Tela 15,6'' Full HD Antirreflexo NVIDIA RTX 3050 Shell Efi Cinza Chumbo VJFH52F11X-B0821H",Por Vaio,4.5,33,7.28,728.0,Notebook
Dell,Notebook Dell Latitude E5440 14 I3 120gb 4g - Excelente (Recondicionado),,,,1.398,,Notebook
ASUS,Notebook Asus Intel I7 13th 16gb 512ssd 16'' Fhd Prateado,,,,3.55,341.0,Notebook
Vaio,"Notebook VAIO FE15, AMD® Ryzen 7, 32GB 512GB SSD, Tela 15,6'' Full HD Antirreflexo, Windows 11 Home - Prata Titânio, VJFE59F11X-B1021H",,4.8,64,4.799,479.0,Notebook
LENOVO,"Notebook Lenovo Ideapad 1 Celeron 4gb 128gb Ssd 15,6 W11 Cor Cinza",Por 123 Comprou,4.6,2908,3.665,2.159,Notebook
Positivo,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por Positivo,4.6,722,3.331,1.709,Notebook
Positivo,"Notebook Positivo Vision I15 Lumina Bar, Core I3, 11th, 8gb 512gb Ssd, Tela 15 Polegadas, Full Hd Antirreflexo, Windows 11 - Cinza",Por Positivo,4.8,12,4.598,2.474,Notebook
LENOVO,"Lenovo Thinkpad E14: Laptop Empresarial De 14'', Amd Ryzen 7 7730u, 16 Gb De Ram, Ssd De 512 Gb, Lector De Huellas Dactilares, Hdmi, Rj45, Wi-fi 6.",,,,4.7,4.324,Notebook
LENOVO,Notebook Lenovo Ideapad 3i I3-10110u 8gb Ram 256gb Ssd,,,,2.079,207.0,Notebook
ASUS,Notebook Asus Zenbook 14 Intel Core Ultra7 16gb 1tb Ssd W11,,4.7,12,9.906,990.0,Notebook
Apple,"Apple MacBook Air (13 polegadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Prata",,4.9,1083,5.684,568.0,Notebook
LENOVO,"Notebook Lenovo Ideapad Intel Celeron - N4020, 4GB RAM, 128SSD, Windows 11 Home C/office, Tela Led 15,6"", Cor Cinza - 82VX0001BR",,4.7,1730,1.961,196.0,Notebook
DELL,Notebook Dell Latitude 3420 - I7 11ª - Ssd 512gb  16gb Ram,,5.0,2,2.899,2.377,Notebook
Apple,"MacBook Air M1 2020 13"" cinza-espacial 8GB de Ram - 256GB SSD - Apple Chip",,4.9,237,5.999,576.0,Notebook
ASUS,Notebook ASUS Vivobook I3 8GB 512GB Endless X1500EA-EJ3667,,4.6,236,2.999,299.0,Notebook
DELL,Notebook Dell 5420 Core I5 11°th 16gb Ddr4 Ssd 256gb,,,,2.499,249.0,Notebook
Apple,"MacBook Air M1 2020 13"" ouro 8GB de Ram - 256GB SSD - Apple M",,4.9,237,5.899,589.0,Notebook
LENOVO,Notebook Lenovo Thinkpad T480 14  I5 8a 8gb Ssd 256gb,,5.0,5,1.499,149.0,Notebook
Indefinido,"MacBook Air M2 (2022) 13.6"" space gray 8GB de Ram - 256GB SSD - M",,4.9,496,7.62,762.0,Notebook
ACER,"Chromebook Acer 315/15,6'/Intel N4020+4 GB de RAM+SSD de 64 GB",,,,1.699,169.0,Notebook
HP,Notebook Probook 640 G2 14  Intel Core I5 6a Geração,,,,1.299,129.0,Notebook
LENOVO,"Notebook Lenovo V15 Intel Core i7-1255u 16gb 512gb SSD Windows 11 Pro 15""",,5.0,10,8.99,899.0,Notebook
ASUS,"Notebook Asus Amd Ryzen 5 3500u 8gb Vega 8 256gb Ssd 15,6",,4.8,480,3.004,300.0,Notebook
LENOVO,Notebook Lenovo S145 I5 8gb 256gb - Excelente (Recondicionado),,,,2.198,219.0,Notebook
ASUS,"Notebook Asus Vivobook Intel Core I3 1215u, 8 GB de RAM, SSD de 128 GB, Full HD, Windows 11 Home",,5.0,1,2.499,249.0,Notebook
HP,"Notebook 256-g8 Hp, Intel Core I3, Wh11, 8gb, 256gb Ssd",,5.0,3,3.199,319.0,Notebook
LENOVO,Notebook Lenovo Thinkpad E14 I5 16gb 512gb Ssd W11 Pro,,3.6,7,4.799,479.0,Notebook
LENOVO,Notebook Lenovo Ideapad 3i I51135g7 8gb 256gb Ssd Intel Iris® Xe W11 15.6 Fhd 82md0007br,,5.0,4,3.02,302.0,Notebook
HP,Notebook Hp Elitebook 840 G7 Core I5 10° 8gb Ssd 256gb Nvme,,5.0,1,2.499,249.0,Notebook
HP,Notebook Hp Elitebook 840 G7 Core I5 10° 16gb Ssd 256gb Nvme,,4.6,12,2.589,258.0,Notebook
Indefinido,Macbook Pro M4 Pro 14  24gb Ram 512ssd A3401 Envio Imediato,,5.0,3,17.72,1.703,Notebook
DELL,Inspiron 14 Plus Snapdragon X1p-64-100 512 GB Ssd 16 GB Ddr5 azul gelo,Por Mercado Vendeu,,,7.334,6.527,Notebook
ASUS,"Notebook Asus E510ma-br1348ws Intel Celeron Dual Core N4020 1,1 Ghz 4gb Ram 128gb Emmc Led Hd Windows 11 Home + Office 365 Personal Incluso - Rosa",,4.6,21,2.649,264.0,Notebook
Dell,Notebook Dell Latitude E5470 - Core I5 6200 - 8gb 500gb - Excelente (Recondicionado),,5.0,1,1.699,,Notebook
DELL,Notebook Dell Latitude 3400 Core I5 8a Ger 8gb Ssd 240gb 14,,,,1.999,1.779,Notebook
HP,Notebook Hp Probook 445 G10 Ryzen 5 Série 753u 16gb 512nvme Prateado,,,,3.39,339.0,Notebook
Apple,MacBook Air M2 2022 midnight 16GB de Ram - 256GB SSD - Apple M,,5.0,5,7.858,785.0,Notebook
LENOVO,Notebook Lenovo Thinkpad E431 Core I5 8gb Ssd 240 Win 11 Pró,,5.0,4,1.25,125.0,Notebook
DELL,Notebook Dell E7440 I5 4a 8gb Ssd 240gb Hdmi Win10,,5.0,1,1.387,138.0,Notebook
DELL,Notebook Dell 3400 I7 8ª 16gb Ssd 256gb (Recondicionado),,,,2.099,210.0,Notebook
HP,Notebook Hp 250 G8 I5-1035 G1 8GB 256GB SSD W10p Cor Cinza-escuro,,,,3.804,380.0,Notebook
DELL,"Notebook Dell Vostro 3520 15.6 i5-1235U 8 Ram 256ssd Win 11H, cor preta",,,,3.999,399.0,Notebook
DELL,"Notebook Dell Inspiron I15 Intel Core i3 -1215U (12ªGeração), 8GB RAM, 256GB SSD, Linux, Tela 15,6"" FULL HD - I15-I120K-U10P",,4.9,14,3.525,338.0,Notebook
ASUS,"Notebook Asus Vivobook Go 15 E1504ga Intel Core I3 N305 4gb Ram 128gb Ssd Windows 11 Tela 15,6 Fhd Silver - Nj440w",Por Webfones,4.8,277,2.999,2.209,Notebook
Indefinido,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,Por 123 Comprou,4.6,164,2.531,1.259,Notebook
ASUS,"Notebook Gamer Asus Tuf Gaming F15 Fx507vu Rtx4050 Intel Core I7 13620h 16gb Ram 512gb Ssd Windows 11 Home 15,60 Fhd 144hz Ips Cinza - Lp177w",Por Pro4ce,4.8,15,9.998,8.899,Notebook
LENOVO,Notebook Lenovo P53 I7 9° 16gb Ssd 512gb M2 - Nvidia 4gb,,,,3.7,370.0,Notebook
DELL,"Notebook Dell Inspiron I15 Intel Core i3 -1215U (12ªGeração), 8GB RAM, 256GB SSD, Linux, Tela 15,6"" FULL HD - I15-I120K-U10P",,4.9,14,3.525,338.0,Notebook
ACER,Notebook Acer Vero Av15- 51-53ap I5 8gb 256gb Ssd 15.6 Eco,,4.8,117,3.999,399.0,Notebook
ACER,Notebook Acer Aspire 5 A514-54-57hc I5 8gb Ssd 512gb 14 Fhd Ips Windows 11 Pro,,4.8,462,4.396,422.0,Notebook
HP,Notebook Hp Zbook Core I7 10th 32gb 512gb Ssd Quadro Rtx3000 Cinza,,,,4.79,479.0,Notebook
DELL,Dell Latitude 3450 I5-1315u 256 Gb Ssd 8gb Ddr5 W11 Cinza Cinza-escuro,,,,4.199,419.0,Notebook
LENOVO,Notebook Lenovo V15 Intel Core i5 16gb 512gb W11 Pro 82um0009br Preto,,5.0,10,4.529,452.0,Notebook
LENOVO,Notebook Lenovo Ideapad S145 Ryzen 5 12gb Ram  128gb +500hd,,5.0,1,1.998,199.0,Notebook
DELL,Notebook Dell Latitude 5450 14 Ultra 5 125u 16gb 512gb Ssd cor preta,,,,6.47,647.0,Notebook
LENOVO,Notebook Lenovo Yoga 510 I5-6200u 16gb Ssd 240gb Tela Touch,,5.0,1,2.899,289.0,Notebook
LENOVO,Notebook Lenovo Thinkpad L14 G1 Ryzen 5-4650u Pro 8gb 256gb,,5.0,1,2.289,228.0,Notebook
HP,Notebook Dell Latitude 3420 Core I7 11ª G 16gb Ssd 256gb 14,,,,3.7,355.0,Notebook
DELL,Notebook Dell Xps 9320 Cor Cinza,,,,10.808,1.08,Notebook
HP,Notebook Hp 640 G4 Core I5 8° Ger 8gb Ssd 256gb,,4.0,1,1.799,179.0,Notebook
SAMSUNG,"Notebook Samsung Galaxy Book2, Intel Core I3-1215U, 4GB, 256GB SSD, Windows 11 Home, Tela 15.6"" - NP550XED-KT3BR",,4.8,2769,2.799,279.0,Notebook
Apple,MacBook Air MacBook Air preto - Apple Chip,,,,7.1,682.0,Notebook
ASUS,"Notebook ASUS Vivobook Intel Core i5 8GB 256GB SSD KeepOS 15,6"" FHD Icelight Silver - X1502ZA-EJ1761",,4.8,499,3.199,319.0,Notebook
HP,Notebook Zbook Fury 17 Polegadas Nvidia Quadro Rtx3000 6gb Cinza,,,,4.59,441.0,Notebook
Indefinido,"Macbook Air 13,6 M2/ 16gb Ram/8cpu/8gpu/256gb Ssd",,,,8.399,839.0,Notebook
DELL,"Notebook Dell Latitude E5440 14"" 16GB de Ram 512GB SSD Intel Core i5 Cor Cinza",,,,5.655,565.0,Notebook
DELL,Dell Latitude 5450 -i5- 13ª geração// 32 gb// 512 gb Touch Grey,,,,7.8,780.0,Notebook
LENOVO,Notebook Lenovo Thinkpad E14 Amd Ryzen 5 8gb 256gb Ssd W11,,,,4.099,409.0,Notebook
DELL,Notebook Dell Latitude 5450 Ultra 5 125u 8gb 256gb Ssd,Por Mercado Vendeu,,,6.555,5.834,Notebook
DELL,Notebook Dell Latitude 3410 Core I5 10th 8gb 256gb Ssd Nvme,,,,2.195,219.0,Notebook
ACER,Notebook Gamer Acer Nitro Anv15-51-50kd Intel Core I5 15.6 P,Por Carrefour,,,4.793,479.0,Notebook
LENOVO,Notebook Lenovo Thinkpad T440 Core I5 4a Ger 8gb Ssd 120gb,,,,1.299,129.0,Notebook
Dell,Notebook Dell Latitude 6430 I5 3th Ssd240 8gb - Excelente (Recondicionado),,,,1.399,,Notebook
Indefinido,"Macbook Pro 14'' M4 Pro, 12cpu 16gpu 24gb 512gb Envio Hoje",,,,18.299,1.758,Notebook
DELL,Notebook Dell Latitude E6440 I5 2.70ghz Ssd 120gb 4gb Ram,,,,826.0,82.0,Notebook
DELL,Notebook Dell Latitude 3420 I5 11th Com 16gb 512gb,,,,3.424,329.0,Notebook
ASUS,"Notebook Asus Vivo Ryzen 7 7730u 16gb 512ssd 15,6'' Fhd W11 Prateado",,,,3.49,335.0,Notebook
Apple,Apple Macbook Air 13/ M3/ 16gb/ 512gb Ssd,,,,10.199,980.0,Notebook
LENOVO,Notebook Lenovo Legion Slim 5 Intel Core i7 16gb Ram 512gb Ssd 16'' Windows 11,,4.7,135,8.458,812.0,Notebook
Indefinido,Alienware M18 R2 Fhd+ 480 hz i9-14900HX 64 GB Rtx 4090 4 TB Cor da lua metálica escura,,,,38.499,3.7,Notebook
Indefinido,"Macbook Air 13,6 M2/ 16gb Ram/8cpu/8gpu/256gb Ssd",,,,7.999,768.0,Notebook
Apple,Apple Macbook Air 13 M4 16gb Ram | 256gb Ssd | Lacrado Azul-celeste,,,,9.999,961.0,Notebook
LENOVO,Notebook Lenovo Thinkpad E14 Intel Ultra 7 16gb 512gb W11pro,,,,7.99,767.0,Notebook
LENOVO,Notebook Lenovo Thinkpad T495 Ryzen 5 Pro Ram 16gb Ssd 256gb,,,,2.0,192.0,Notebook
DELL,Notebook Dell Core I5 4ª Gen 8gb / Hd/ Hdmi / Com Garantia.,,,,1.395,134.0,Notebook
HP,Notebook HP 15-fd0023dx 15.6 Fhd Touch de 256 GB/8 GB I3 W11 - prata,,,,3.399,339.0,Notebook
LENOVO,"Notebook Lenovo V15 Intel I5 1235u, 16gb, 512gb Ssd, W11 Pro",,,,4.999,480.0,Notebook
DELL,"Notebook Dell 3400: I5-8265u 8gb Ssd 240 Gb, Windows 11",,,,2.899,289.0,Notebook
Indefinido,Macbook Air Retina Processador M2 8gb Ram 512ssd - 2022,,5.0,1,9.1,910.0,Notebook
HP,Notebook Hp Envy X360 2 Em 1 15-ew1058wm I5 8 Gb Ddr4 Touch,,,,4.893,489.0,Notebook
Vaio,"Notebook VAIO® FE14 Intel® Core™ i3-10110U Linux 4GB RAM 128GB SSD 14"" QHD – Cinza Escuro",,4.5,54,5.556,534.0,Notebook
HP,Notebook HP Probook 640 G2 prateado - Excelente (Recondicionado),,,,1.599,,Notebook
Dell,Notebook Dell Latitude E5440 - I5 4310m - 8gb 500gb - Excelente (Recondicionado),,,,1.698,,Notebook
DELL,Notebook Dell Latitude 3420 Core I5 11ger 8gb 512ssd - Novo,Por SLA Informatica,4.9,7,3.599,359.0,Notebook
LENOVO,Notebook Lenovo Ideapad 1i Celeron Office 365 4gb 128gb W11,Por 123 Comprou,4.8,103,3.665,1.979,Notebook
ACER,"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",Por 123 Comprou,4.8,2698,8.165,4.499,Notebook
SAMSUNG,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core I5, 8gb, 256gb Ssd, 15.6'' Full Hd Led, 1.55 Kg - Grafite",,4.9,1149,4.999,3.379,Notebook
DELL,Notebook Dell Latitude 3420 Core I5 11ger 8gb 512ssd - Novo,Por SLA Informatica,4.9,7,3.599,359.0,Notebook
DELL,Notebook Dell Latitude 5450 Ultra 5 125u 16gb 512gb Ssd,Por Mercado Vendeu,,,6.8,6.052,Notebook
Dell,Notebook Dell Latitude 3440 I3 4th 8gb 120gb Ssd - Excelente (Recondicionado),,,,1.489,,Notebook
Dell,Notebook Dell Latitude 3440 Core I7 4th 8gb Ram Ssd 240gb - Excelente (Recondicionado),,,,1.799,,Notebook
Indefinido,"Notebook Latitude 3440 14"" cinza-escuro 4GB de Ram - 500GB HDD - Intel Core i5 - Excelente (Recondicionado)",,,,1.359,,Notebook
Apple,"Apple Macbook Pro A2141 2019 16'' Core I7 2,6ghz 16gb 512gb",,4.6,22,5.699,4.989,Notebook
ACER,"Notebook Gamer Acer Nitro V15 I7-13620h 13ªGen 8gb 512gb Rtx3050 6gb Linux 15.6"" FHD Preto - Anv15-51-7837",Por INPOWER,3.5,6,7.599,5.399,Notebook
Indefinido,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,Por 123 Comprou,4.6,164,2.531,1.259,Notebook
LENOVO,"Notebook Lenovo Ideapad 1 Celeron 4gb 128gb Ssd 15,6 W11 Cor Cinza",Por 123 Comprou,4.6,2908,3.665,2.159,Notebook
SAMSUNG,Notebook Galaxy Book2 intel core i7-1255U 8GB RA SSD 512GB 15.6 Full HD Windows 11 grafite NP550XED-KS2BR,Por Login,4.8,553,5.299,4.499,Notebook
LENOVO,Notebook Lenovo Core I7(10ª Ger) 16gb Ram 256 Ssd  Hdmi Usbc,,5.0,1,2.49,239.0,Notebook
Positivo,"Notebook Positivo Vision i15 Intel Core i5 11ª gen 8GB RAM 512GB SSD, Lumina Bar Windows 11 Home, Tela 15” Full HD Antirreflexo – Cinza",,4.9,47,3.123,300.0,Notebook
DELL,Notebook Dell Latitude 3410 Core I5 10ger 16gb 500gb Ssd,Por SLA Informatica,3.6,7,3.199,319.0,Notebook
HP,Notebook Hp Core I7 10th 32gb Ram 512gb Ssd Tela 14 Full Hd Prateado,,,,2.89,289.0,Notebook
DELL,Notebook Dell Latitude E7490 I5-8350u 256gb 8gb - Excelente (Recondicionado),,,,2.288,2.15,Notebook
Positivo,"Notebook Positivo Vision i15 Lumina Bar i3-N300, 8GB 512GB SSD, Tela 15 polegadas Full HD Antirreflexo Linux - Cinza",Por Positivo,4.6,287,3.998,2.339,Notebook
Positivo,"Notebook Positivo Vision I15 Lumina Bar, Core I3, 11th, 8gb 512gb Ssd, Tela 15 Polegadas, Full Hd Antirreflexo, Windows 11 - Cinza",Por Positivo,4.8,12,4.598,2.474,Notebook
Positivo,"Notebook Positivo Vision I15 Lumina Bar I3-n300, 8gb 256gb Ssd, Tela 15 Polegadas Full Hd Antirreflexo Linux - Preto",Por 123 Comprou,5.0,2,4.499,2.069,Notebook
Indefinido,Notebook Intel Quadcore 6gb Ram Ssd 64gb Tela 14.1 Ips Usb 3,,4.2,45,1.75,1.487,Notebook
LENOVO,"Notebook Lenovo Ideapad 1i Celeron N4020 128gb 4gb W11 15,6'",Por 123 Comprou,,,3.665,1.943,Notebook
LENOVO,"Lenovo Thinkpad I7 8a 8gb Ssd 480gb Tela 12,5 + Mouse Brinde",,,,2.498,1.998,Notebook
Vaio,Notebook Vaio Core I5 10th 8gb Ram 128gb Ssd Windows 11 Hdmi Cinza-escuro,,,,1.69,162.0,Notebook
DELL,"Notebook Dell Alienware M18 R1 18"" cor cinza 64GB - 2TB SSD - 4TB HDD - Intel Core i9",,4.9,8,34.499,3.315,Notebook
Indefinido,Escova De Limpeza Do Teclado Ferramenta Headset Fones Limpos,,4.1,7,32.0,3.0,Notebook
ASUS,Notebook Asus Vivobook S14 Core Ultra 7 32gb 1tb Ssd W11,Por Asus,,,11.499,1.149,Notebook
Indefinido,Gpd P2 Max 8.9 Polegadas 16gb 512gb,,,,4.5,450.0,Notebook
DELL,Notebook Dell Latitude 5420 Core I5 11o 16gb Ddr4 Ssd 256gb,,5.0,5,3.022,302.0,Notebook
Indefinido,Notebook Compaq Presario Cq-15 14 Hd Celeron N3350 500gb 4gb,,,,929.0,92.0,Notebook
LENOVO,"Lenovo Thinkpad I7 8a 8gb Ssd 240gb Tela 12,5 + Mouse Brinde",,4.8,10,1.899,1.804,Notebook
LENOVO,Notebook Lenovo Thinkpad X1 Carbon I7-8th 16gb 256gb +brinde,,,,2.797,2.153,Notebook
ASUS,Asus Rog Zephyrus G16 Rtx 4070 1 TB cinza-escuro,,,,16.449,1.581,Notebook
Indefinido,Hub Adaptador 7 Em 1 Usb-c Thunderboolt Hdmi 4k Geonav,,4.6,40,299.0,49.0,Notebook
DELL,"Notebook Latitude Dell Latitude 5400 14"" preto 16GB de Ram - 512GB SSD - Intel Core i7",,,,4.299,429.0,Notebook
DELL,"Notebook Dell Latitude 5490, Tela 14, I5 8ªger, 8gb Ssd256gb",Por OTH Produtos,4.8,8,1.605,154.0,Notebook
DELL,Notebook Core I5 Dell Latitude 16gb Ram 256gb Ssd M2,Por Canal Eletro,3.8,8,2.599,259.0,Notebook
Vaio,Notebook Vaio Fe 16 Amd Ryzen 5-5625u Linux 8gb 256gb Ssd Tela 16 Ips Wuxga Antireflexo - Cinza Grafite - Vjfe69f11x-b0411h,Por 123 Comprou,,,4.998,2.789,Notebook
HP,"Notebook 240 G7 14"" preto 8GB de Ram - 1TB HDD - Intel Core i5",Por SLA Informatica,2.7,3,2.599,259.0,Notebook
DELL,Notebook Dell Latitude 5420 Core I5g7 16gb 256gb Ssd+ Brinde,,,,2.998,2.428,Notebook
DELL,Notebook Dell Latitude E5470 I5 6th 16gb Ddr4 256gb Nvme,,4.3,3,1.699,169.0,Notebook
DELL,Notebook Dell Latitude 5450 14 Ultra 7 165u 32gb 512gb Ssd,,,,9.4,940.0,Notebook
LENOVO,Notebook Thinkpad L14 G2 I5 8gb 256gb - Lenov0,,,,3.299,317.0,Notebook
ASUS,Notebook Asus Vivobook 16 Intel Core I7 1355u 8gb 512ssd Ips,Por Asus,,,3.863,3.283,Notebook
LENOVO,Notebook Lenovo Thinkpad E14 Amd Ryzen 5 16gb 256gb Wpro 14,,,,6.595,659.0,Notebook
DELL,Notebook Dell Inspiron 15 (3520) 15.6 FHD 512 GB/16 GB de RAM i5-1235U W11,,5.0,3,4.225,422.0,Notebook
Positivo,Notebook Positivo,,,,1.0,96.0,Notebook
DELL,Notebook Dell Latitude 5410 I5 10210u 16gb 256ssd - Seminovo,,,,2.249,216.0,Notebook
Apple,"Apple Macbook Pro 13, 2020, Chip M1, 256 Gb Ssd 8gb Ram",,4.0,9,4.805,480.0,Notebook
LENOVO,Notebook Lenovo Thinkpad E14 Gen 6 Ultra 7 Memoria 32,,,,7.6,760.0,Notebook
SAMSUNG,"Notebook Samsung Book4 I5 1335u 8gb 256gb 15,6 W11p Np754xgj",Por 2Eletro,5.0,1,3.8,3.499,Notebook
HP,Notebook Hp Elitebook 840 G7 Core I5 10° 8gb Ssd 240gb,,4.3,3,2.498,249.0,Notebook
Positivo,Notebook Q232a Positivo Motion Gray  Ram 2gb - Ssd 32gb Cinza-escuro,,,,1.499,149.0,Notebook
DELL,"Notebook Dell, Xps 9310, 13.4'', Core I7 11th, 16gb, Ssd-1tb",Por OTH Produtos,5.0,2,5.49,549.0,Notebook
Apple,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024 Envio Hoje,,5.0,4,15.599,1.559,Notebook
Indefinido,Macbook Air 13  / M1 / 8gb /256gb Ssd/ / Lacrado Na Caixa,,,,5.776,577.0,Notebook
Indefinido,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,Por 123 Comprou,4.6,164,2.531,1.259,Notebook
ASUS,"Notebook Gamer Asus Tuf Gaming F15 Fx507vu Rtx4050 Intel Core I7 13620h 16gb Ram 512gb Ssd Windows 11 Home 15,60 Fhd 144hz Ips Cinza - Lp177w",Por Pro4ce,4.8,15,9.998,8.899,Notebook
Positivo,"Notebook Positivo Vision i15 Intel Core i5 11ª gen 8GB RAM 512GB SSD, Lumina Bar Windows 11 Home, Tela 15” Full HD Antirreflexo – Cinza",,4.9,47,3.123,300.0,Notebook
LENOVO,Notebook Lenovo Thinkpad E470 I5 8gb Ram Ssd 480gb,,,,1.699,1.359,Notebook
DELL,Notebook Dell Intel Ultra 5 135u 16gb Ddr4 Ssd M2 256gb 5450,,,,4.999,499.0,Notebook
Indefinido,Laptop para jogos Msi Claw Processador Intel Core Ultra 7 155h 120 Hz 1920 X 1080 Gaming Handheld 7 Touch Black Color 16 GB de RAM 512 GB SSD Windows 11,,,,4.999,499.0,Notebook
DELL,Notebook Dell Inspiron I15-i120k-u25m 15.6  Full Hd 12ª Gera,Por Dell,4.8,5,3.749,3.499,Notebook
